destination,days,trip_type,travelers,total_cost,transport_cost,accommodation_cost,food_cost,activities_cost
Sydney,17,Budget,3,5189.38,1241.13,1401.11,1135.89,1411.26
Bali,4,Luxury,4,3471.17,1172.25,868.33,1037.3,393.29
Paris,14,Standard,1,2357.18,419.34,727.02,483.11,727.7
Delhi,14,Standard,4,3023.96,811.88,784.08,729.17,698.82
Bali,9,Budget,2,737.07,124.96,285.13,159.22,167.75
Sydney,10,Budget,3,3255.03,1080.23,982.22,811.73,380.84
Tokyo,8,Standard,6,6534.3,2053.04,2417.84,1736.7,326.72
London,18,Standard,6,17790.26,3365.86,4608.49,3536.7,6279.22
Goa,20,Budget,5,4276.49,1160.67,1305.18,831.53,979.11
Vienna,9,Budget,1,638.12,194.27,184.89,96.25,162.71
Berlin,19,Luxury,3,14656.84,4655.5,5279.76,3988.74,732.84
Barcelona,3,Standard,6,2797.59,601.58,1107.62,687.18,401.2
New York,5,Budget,5,2149.84,432.58,554.84,551.65,610.77
Amsterdam,9,Budget,1,804.69,171.3,283.02,230.25,120.12
Kuala Lumpur,15,Luxury,3,7833.66,2554.51,2936.61,1522.43,820.11
Bali,14,Standard,4,5662.74,1321.13,2416.04,1124.91,800.66
Kuala Lumpur,9,Budget,6,1817.25,427.82,751.62,507.21,130.6
Sydney,10,Standard,3,5102.06,1191.24,1502.16,857.04,1551.62
Prague,11,Luxury,4,8225.97,2817.31,2470.72,1847.45,1090.49
Bangalore,19,Budget,1,657.57,133.72,292.83,139.18,91.84
Kuala Lumpur,3,Budget,1,95.95,23.78,42.9,17.88,11.39
London,13,Luxury,3,11690.96,2319.86,4800.63,2578.38,1992.08
Tokyo,13,Standard,1,2219.31,641.74,935.82,441.41,200.34
London,5,Luxury,3,3938.1,865.33,1060.27,1146.3,866.2
Rome,20,Luxury,1,6582.13,1262.55,2358.31,1674.28,1286.99
Sydney,18,Standard,1,3664.43,928.3,1107.27,1097.27,531.6
Prague,7,Budget,3,955.28,266.48,385.23,255.8,47.76
Singapore,13,Budget,1,907.93,165.54,390.15,218.78,133.46
New York,5,Standard,1,1279.87,358.86,377.37,328.7,214.92
Paris,18,Standard,4,11567.61,2582.97,4613.56,2986.07,1385.0
Paris,16,Luxury,6,28466.92,9119.76,10447.66,7476.15,1423.35
Paris,3,Luxury,5,4730.28,927.31,1654.83,1115.4,1032.73
Bangalore,14,Budget,4,1435.72,437.2,534.69,392.05,71.79
Bangalore,5,Standard,4,1348.94,432.47,416.67,280.26,219.53
Kuala Lumpur,5,Budget,2,387.28,112.0,140.97,63.74,70.56
Delhi,4,Standard,3,851.65,178.04,267.85,236.16,169.59
Barcelona,18,Luxury,5,21059.03,4237.95,7840.33,3416.6,5564.15
Sydney,6,Budget,5,2126.75,401.65,561.86,445.59,717.65
Mumbai,17,Luxury,4,6249.88,1777.5,1972.65,1082.83,1416.9
Singapore,19,Standard,4,14820.6,2338.2,4604.06,3417.07,4461.26
Dubai,10,Budget,5,4135.46,781.09,1374.09,1054.24,926.04
Rome,20,Budget,4,5863.89,1717.64,1514.13,1230.38,1401.73
Kerala,7,Standard,2,990.33,182.87,278.57,185.72,343.17
Singapore,10,Budget,5,4996.78,1029.27,2203.45,1302.58,461.48
Dubai,5,Standard,4,2302.9,400.78,733.19,377.15,791.79
Delhi,16,Budget,6,3475.4,1010.41,1198.44,572.31,694.24
Goa,9,Budget,4,1385.45,318.24,517.01,339.8,210.4
Tokyo,12,Luxury,2,6827.79,2298.83,2391.15,1576.58,561.23
Vienna,4,Luxury,1,1093.67,339.25,421.54,258.11,74.78
Paris,13,Budget,5,5922.46,1629.79,2452.4,1467.13,373.14
Berlin,15,Budget,4,4064.38,667.52,1275.38,1124.74,996.73
Tokyo,11,Luxury,4,13961.56,4029.0,4463.06,4055.8,1413.71
Seoul,6,Budget,2,1051.47,278.83,416.73,177.86,178.05
Bangalore,7,Luxury,4,2817.81,664.44,1127.62,741.6,284.16
Barcelona,19,Standard,1,2953.68,632.12,1267.44,615.49,438.64
Prague,11,Budget,3,1655.2,278.5,519.51,484.16,373.03
Agra,17,Luxury,5,8757.43,2283.42,2561.95,2556.55,1355.52
Goa,9,Budget,5,1582.72,467.86,619.08,416.65,79.14
Dubai,13,Luxury,3,11925.47,2030.01,3181.97,3042.73,3670.76
Amsterdam,20,Budget,3,5777.67,1682.74,1538.42,940.18,1616.34
Kerala,3,Budget,6,642.41,196.21,232.35,137.24,76.61
Kerala,5,Luxury,5,3871.93,589.58,1330.91,613.49,1337.95
Rome,11,Budget,1,688.35,158.35,237.86,111.81,180.33
Paris,8,Standard,2,2674.17,407.63,1187.26,418.44,660.84
Bali,13,Standard,4,4748.57,1632.85,1683.94,1160.6,271.19
Mumbai,3,Luxury,5,1591.29,460.49,520.1,414.63,196.06
Berlin,18,Standard,6,17216.98,3537.68,4952.02,3780.07,4947.21
Jaipur,11,Budget,4,1159.96,395.59,443.88,262.49,58.0
Paris,15,Budget,4,4334.66,716.26,1899.04,921.1,798.26
Dubai,4,Luxury,2,2104.41,708.23,890.61,329.93,175.63
